 warn --- config file  - /opt/bambooagent/xml-data/temporary-repositories/maintenance/hybris/bin/modules/npm-ancillary/npmancillary/resources/npm/verdaccio/config_offline.yaml
 warn --- Verdaccio started
 warn --- http address - http://localhost:4873/ - verdaccio/4.12.0
 http <-- 200, user: null(127.0.0.1), req: 'GET /spdx-correct', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /spdx-expression-parse', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /function-bind', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /os-homedir', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /builtins', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /p-try', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@babel%2fhighlight', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-arrayish', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@babel%2fhelper-validator-identifier', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /js-tokens', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /call-bind', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /get-intrinsic', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /object-inspect', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /asap', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /mimic-fn', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /has-symbols', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /minimist', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /querystringify', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /requires-port', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /spdx-license-ids', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /spdx-exceptions', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'POST /-/npm/v1/security/advisories/bulk', bytes: 2558/0
 http <-- 200, user: null(127.0.0.1), req: 'POST /-/npm/v1/security/audits/quick', bytes: 29151/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /validator/-/validator-13.7.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /lodash.isequal/-/lodash.isequal-4.5.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /lodash.get/-/lodash.get-4.4.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /xmlbuilder/-/xmlbuilder-11.0.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /commander/-/commander-2.20.3.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /typedarray-to-buffer/-/typedarray-to-buffer-3.1.5.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-typedarray/-/is-typedarray-1.0.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /imurmurhash/-/imurmurhash-0.1.4.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /sax/-/sax-1.2.4.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /webidl-conversions/-/webidl-conversions-3.0.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /tr46/-/tr46-0.0.3.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /builtins/-/builtins-1.0.3.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /spdx-exceptions/-/spdx-exceptions-2.3.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /spdx-license-ids/-/spdx-license-ids-3.0.12.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /spdx-expression-parse/-/spdx-expression-parse-3.0.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /spdx-correct/-/spdx-correct-3.1.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /requires-port/-/requires-port-1.0.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /querystringify/-/querystringify-2.2.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /url-parse/-/url-parse-1.5.10.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /punycode/-/punycode-2.1.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /psl/-/psl-1.9.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-number/-/is-number-7.0.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /thenify/-/thenify-3.3.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /minimist/-/minimist-1.2.7.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /mkdirp/-/mkdirp-0.5.6.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /minizlib/-/minizlib-2.1.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fs-minipass/-/fs-minipass-2.1.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /chownr/-/chownr-1.1.4.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /has-flag/-/has-flag-4.0.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /ansi-regex/-/ansi-regex-5.0.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-fullwidth-code-point/-/is-fullwidth-code-point-3.0.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /emoji-regex/-/emoji-regex-8.0.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /minipass/-/minipass-3.3.6.tgz', bytes: 0/0
